0,1,2,3,4,5,6,7,8
6366090,"PEPPER, JLP 1 1/9 BSHL FRESH",,,,,,,
4736314,"DEODORIZER, URNL SCRN W/ BLOC",,,,,,,
1536807,"POTATO, RUSET ID. 40 CT FRESH",,,,,,,
2721173,"CHICKEN, WING 1&2JT RNDM JUMBO",,,,,,,
2015881,"TOMATO, #2 GRD RND BULK FRESH",,,,,,,
6060865,"SHRIMP, 16-20 WHT P&D T/OF NPA",,,,,,,
7582752,"CHEESE, AMER LOAF PROCD PLST",,,,,,,
2721165,"CHICKEN, BRST DBL RNDM BNLS",,,,,,,
1330158,"BEAN, BLU LAKE GRN CUT 4 SIEV",,,,,,,
6617419,"CONTAINER, FM 9.12X9 1 CMPT",,,,,,,
6361794,"TOWEL, PAPR 10""X800' N-PERF RL",,,,,,,
6384234,"LETTUCE, RMN FRESH REF",,,,,,,
1285304,"CUP, PET PLST 24 Z CLD SPCL",,,,,,,
4667424,"LIME, #1 GRD 200 CT FRESH REF",,,,,,,
7050313,"LETTUCE, RMN HEART FRESH REF",,,,,,,
1044607,"SHRIMP, 16-20 WHT P&D T/ON RAW",,,,,,,
6328157,"MAYONNAISE, XHVY PLST JUG SHLF",,,,,,,
4523510,"CHERRY, MRCNO W/ STEM LG PLST",,,,,,,
1163553,"JUICE, ORNG BLND 100% PLST BTL",,,,,,,
6004030,"BAR MIX, CCNUT CRM SHLF STABL",,,,,,,
1184029,"SHRIMP, RAW 16-20 WHT T/ON P&D",,,,,,,
2332245,"LETTUCE, RMN HEART FRESH REF",,,,,,,
4836169,"FILM, PLST 18""X2000' RL CTTR",,,,,,,
1016831,"SUGAR, WHT GRAN CANE",,,,,,,
3284189,"WATER, SPRG GLS BTL VARBL",,,,,,,
3587490,"CHEESE, PARM SHRDD FCY BAG REF",,,,,,,
1054717,"SAUCE, PASTA TMTO CAN SHLF",,,,,,,
1805379,"CROUTON, SESD BAG HMSTY 1X1X.5",,,,,,,
6342158,"DRESSING, CSR TFF TRADL PLST",,,,,,,
4840484,"FILM, 24""X2000' PLST RL",,,,,,,
9690198,"BEEF, CHEEK MEAT RAW F2F BAG",,,,,,,
1355551,"MUSHROOM, WHT BTTN SM #1 GRD",,,,,,,
2974905,"TORTILLA, CORN WHT 4.5"" DIE",,,,,,,
3733821,"TISSUE, TLT STD RL 3.8""X150' 2",,,,,,,
9414384,"EGG, SHL X-LG GRD A FRESH +E",,,,,,,
7826449,"LINER, 40-45 GAL 40X44 BLK .8",,,,,,,
7826613,"LINER, 56 GAL 43X45 BLK 1.2",,,,,,,
3055465,"PICK, BAMBOO CLUB FRILL 4""",,,,,,,
2791663,"APPETIZER, MAC & CHS PPR JK",,,,,,,
823013,"EGG, SHL LG GRD AA WHT LOOS PK",,,,,,,
6258685,"ROLL, HOGI SDOUG 8-9"" SLCD FZN",,,,,,,
8303414,"PEPPER, CHILI GRN DCD FIRE",,,,,,,
5238421,"BEEF, BRSKT FULL SLCT 120 DEKL",,,,,,,
6000194,"CHICKEN, THIGH RNDM BI SKON",,,,,,,
8998536,"HAM, BNLS D-SHAPED NJ HWD F2F",,,,,,,
7545033,"MIX, GRVY BRN LOW SDM NO MSG",,,,,,,
3396386,"ROLL, HOGI WHT 3.2 Z 7"" SLCD",,,,,,,
1061072,"BEEF, RIBEY CHO 112A L/ON RFP",,,,,,,
1699624,"BEEF, RIBEY HERFRD 112A 2"" RAW",,,,,,,
1305854,"GLASS, PILSNER 16 OZ SAN PLAST",,,,,,,
3891777,"BEEF, RIBEY CHO 112A 2"" L/ON",,,,,,,
4332938,"TOMATO, 4X5 #1 GRD FRESH 2",,,,,,,
4851577,"SHRIMP, RAW 41-50 LB WHT T/OF",,,,,,,
8917619,"KIT, CTLY K-F-S NAP HW BLK",,,,,,,
7331499,"MUSHROOM, MED #1 GRD FRESH REF",,,,,,,
6870877,"MIX, GRVY BRN LOW SDM BAG SHLF",,,,,,,
4350070,"BACON, PORK REAL DCD .38"" CKD",,,,,,,
2376259,"TOMATO, GRAPE RED FRESH REF",,,,,,,
2244165,"MAT, ANTI FATIG GRS RSNT 3X5",,,,,,,
8060766,"MIX, GRVY BRN CNTRY STYL",,,,,,,
4574232,"FILM, PLST 18""X2000' RL CTTR",,,,,,,
1205186,"LIME, 110 CT FRESH REF",,,,,,,
