0,1,2,3,4,5,6,7,8,9,10,11
7607237,"CUP, PLST 12Z KID SEA W/LID&ST",,,,,,,,,,
0,,,,,,,,,,,
466821,"BACON, PORK SLCD SLAB RAW FZN",,,,,,,,,,
6714032,"BEEF, RBY 112A 2X2"" LON RW F2F",,,,,,,,,,
8429292,"JUICE, APPL 100% VITMN C ADDED",,,,,,,,,,
9284670,"PORK, LOIN CC BELLY STRAP EXP",,,,,,,,,,
6328116,"CORN, YLW KRNL FCY FZN BAG",,,,,,,,,,
6364616,"LINER, 12-16 GAL 24X32 CLR .35",,,,,,,,,,
9917069,"OIL, OLIV POMCE IMP ITALY",,,,,,,,,,
7662349,"PLATE, PLYST 10.25"" WHT DECTD",,,,,,,,,,
1536807,"POTATO, RUSET ID. 40 CT FRESH",,,,,,,,,,
5489441,"MIX, GRVY PORK BAG SHLF STABL",,,,,,,,,,
7416663,"PORK, LOIN CC BNLS .25"" TRIMD",,,,,,,,,,
877506,"BUTTER, SALTD SOLID AA GRD REF",,,,,,,,,,
2721173,"CHICKEN, WING 1&2JT RNDM JUMBO",,,,,,,,,,
8231189,"LEMON, CHO IMP & DMSTC 165 CT",,,,,,,,,,
2015881,"TOMATO, #2 GRD RND BULK FRESH",,,,,,,,,,
1295506,"BEEF, RIBEY U2/3 ANGS 112A 2X2",,,,,,,,,,
4814729,"ONION, GRN ICELS FRESH REF",,,,,,,,,,
9866708,"STRAW, JMB 5.75"" BLK UWRPD STD",,,,,,,,,,
6060865,"SHRIMP, 16-20 WHT P&D T/OF NPA",,,,,,,,,,
8326696,"ONION, YLW JMB 3""+ FRESH REF",,,,,,,,,,
7582752,"CHEESE, AMER LOAF PROCD PLST",,,,,,,,,,
993063,"PASTA, MAC ELBW SHLF STABL",,,,,,,,,,
1809805,"SAUSAGE, SMKD PORK BF 3.2 Z 5""",,,,,,,,,,
2721165,"CHICKEN, BRST DBL RNDM BNLS",,,,,,,,,,
4393494,"BEEF, CHEEK MEAT RAW REF BAG",,,,,,,,,,
5492673,"SALT, SHKR PLST",,,,,,,,,,
6492672,"SPICE, PPR BLK GRND SHKR",,,,,,,,,,
1330158,"BEAN, BLU LAKE GRN CUT 4 SIEV",,,,,,,,,,
4116355,"GARLIC, MNCD IN WATER PLST JAR",,,,,,,,,,
7826688,"LINER, 60 GAL 38X56 BLK .8 MIL",,,,,,,,,,
6617419,"CONTAINER, FM 9.12X9 1 CMPT",,,,,,,,,,
4725396,"CELERY, STALK FRESH REF BOX",,,,,,,,,,
6361794,"TOWEL, PAPR 10""X800' N-PERF RL",,,,,,,,,,
3327053,"SHORTENING, FRYG CNOLA LIQ CLR",,,,,,,,,,
1016831,"SUGAR, WHT GRAN CANE",,,,,,,,,,
4836169,"FILM, PLST 18""X2000' RL CTTR",,,,,,,,,,
2332245,"LETTUCE, RMN HEART FRESH REF",,,,,,,,,,
7445317,"MARGARINE, WHPD PHO-FREE PAIL",,,,,,,,,,
7398886,"FILTER, FRYER GRS SHT",,,,,,,,,,
3164159,"TOWEL, PAPR 11X8.8 PERF RL WHT",,,,,,,,,,
1184029,"SHRIMP, RAW 16-20 WHT T/ON P&D",,,,,,,,,,
2384873,"TOMATO, PLUM #2 GRD BULK FRESH",,,,,,,,,,
6004030,"BAR MIX, CCNUT CRM SHLF STABL",,,,,,,,,,
1163553,"JUICE, ORNG BLND 100% PLST BTL",,,,,,,,,,
4523510,"CHERRY, MRCNO W/ STEM LG PLST",,,,,,,,,,
6328157,"MAYONNAISE, XHVY PLST JUG SHLF",,,,,,,,,,
6353429,"SPICE, CELRY SALT SHLF STABL",,,,,,,,,,
7941537,"CUP, PLST 12 Z KID WHT",,,,,,,,,,
1044607,"SHRIMP, 16-20 WHT P&D T/ON RAW",,,,,,,,,,
7050313,"LETTUCE, RMN HEART FRESH REF",,,,,,,,,,
4667424,"LIME, #1 GRD 200 CT FRESH REF",,,,,,,,,,
1327055,"OIL, SOYBN TFF SALAD",,,,,,,,,,
1285304,"CUP, PET PLST 24 Z CLD SPCL",,,,,,,,,,
1063807,"BEEF, SHORT LOIN HERFRD 17",,,,,,,,,,
7780489,"CHICKEN, BRST BRDD MED ITLN",,,,,,,,,,
1275003,"POTATO, YLW PTITE CKD SOUS REF",,,,,,,,,,
1460591,"BREADSTICK, FRNCH UNSL BKD FZN",,,,,,,,,,
6384234,"LETTUCE, RMN FRESH REF",,,,,,,,,,
9332230,"LETTUCE, RMN CHPD 1.5"" #1 GRD",,,,,,,,,,
1262063,"CAKE, LMN WILD BLBRY NOT ICED",,,,,,,,,,
7630866,"COD, BRDD FRSHCRMB 2-3ZFIL MSC",,,,,,,,,,
