0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
7886112,"GLOVE, POLY XL CLEAR STRETCH AMBIDEXTROUS",3,4,0,7,4,11,7,15,1,26,18,15,12
8362022,"DETERGENT, DISHWASHER D21 LIQUID PAIL RED ODORLESS LOW TEMP",1,1,1,1,1,1,1,1,16,0.75,1,1,1
8366320,"RINSE ADDITIVE, DISHWASHER D22 LIQUID PAIL GREEN HIGH SOLID",1,1,1,0.25,1,0.25,0,1,1,0.75,1,1,1
6365084,"SANITIZER, DISHWASHER D23 LIQUID PAIL CLEAR YELLOW LOW TEMP",1,0,1,1,1,0.75,0.75,1,1,0.5,1,1,1
9625922,"TOWEL, PAPER 7.88X15 CENTERPULL PERFORATED WHITE 1 PLY 320 SHEET",8,6,7,10,6,10,6,2,12,1.5,12,9,7
95745,"TISSUE, TOILET JUMBO ROLL 3.3X1000' N-PERF 2 PLY WHITE",8,11,7,12,11,8,7,11,9,0.5,11,9,8
8648164,"TOWEL, PAPER 9.5X9 MULTIFOLD BROWN 1 PLY",-,-,-,-,-,-,,-,-,-,-,-,-
5751965,"DEODORIZER, URINAL SCREEN WAVE 3D SOLID BOX BLUE COTTON BLOSSOM SCENT",-,-,-,-,-,-,,-,-,-,-,-,-
2950699,"MOP HEAD, CUT END #24 COTTON 4 PLY NARROW BAND NATURAL",2,2,2,1,2,-,1,2,2,,4,4,4
7826506,"LINER, 33 GAL 33X38 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",0.5,0,3,3,2,1,3,,5,5,4,1,3
7826290,"LINER, 60 GAL 38X58 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",4,0,3,3,3,2,3,1,4,6,4,2,7
4647806,"DETERGENT, DISH MANUAL LIQUID BOTTLE BLUE",2,3,10,8,9,9,8,5,5,4,3,8,2
2959917,"CLEANER, FLOOR ALL SURFACE F22 LIQUID PACKET BROWNISH RED PLEASANT SCENT",1.5,0.25,0.25,0.166666667,1,3,1,0.5,,1.6,0,,1.5
1010412,"PEPPER, BELL GRN DCD 1/4""",,,,,,,,,,,,,
2332104,"CELERY, DCD 1/4"" FRESH REF",,,,,,,,,,,,,
6326706,"POTATO, RUSET ID. 70 CT 10-13",,,,,,,,,,,,,
8602054,"CUP, PET PLST 9 Z SQT CLD CLR",,,,,,,,,,,,,
8648198,"TISSUE, TLT JMB RL 3.5"" WHITE",,,,,,,,,,,,,
1005446,"MUSHROOM, SLCD THIN FRESH REF",,,,,,,,,,,,,
7589787,"BACON, PORK RNDM CT SLCD BULK",,,,,,,,,,,,,
1117268,"CHICKEN, GZZD RAW F2F CVP",,,,,,,,,,,,,
5314802,"ROLL, WHT UNSL PARBK FZN BRD",,,,,,,,,,,,,
9372855,"TOMATO, RND 5X6 #1 GRD FRESH 2",,,,,,,,,,,,,
5010608,"CILANTRO, FRESH HERB",,,,,,,,,,,,,
8609068,"LIME, 175-200 CT FRESH REF #2",,,,,,,,,,,,,
791558,"CONTAINER, FM 4 Z SQT WHT",,,,,,,,,,,,,
6969521,"GLOVE, VINYL X-LARGE PF NTRL",,,,,,,,,,,,,
5513762,"TORTILLA, CHIP WHT CORN 6"" RAW",,,,,,,,,,,,,
6395610,"SUGAR, WHT EX FINE CANE",,,,,,,,,,,,,
5888482,"HAM, BNLS D-SHAPD NJ HW SMK 2D",,,,,,,,,,,,,
9348134,"CHICKEN, WING 1&2JT JMB RW F2F",,,,,,,,,,,,,
6366090,"PEPPER, JLP 1 1/9 BSHL FRESH",,,,,,,,,,,,,
9505647,"AVOCADO, HASS BRKER STG 2-3 #1",,,,,,,,,,,,,
760785,"SPICE, PPR BLK GRND PLST JUG",,,,,,,,,,,,,
2745578,"PLATE, FM 10.25"" 3 CMPT WHT",,,,,,,,,,,,,
6896393,"KIT, CTLY K-F-S NAP MW SLVR",,,,,,,,,,,,,
7912660,"CLEANER, OVN & GRIL K44 AERSL",,,,,,,,,,,,,
4736314,"DEODORIZER, URNL SCRN W/ BLOC",,,,,,,,,,,,,
2305118,"ASPARAGUS, GRN BNCH LG 6-11 LB",,,,,,,,,,,,,
3551421,"LEMON, FRESH REF",,,,,,,,,,,,,
1901586,"MEAT SUB, MTBL MEATL VEGAN CKD",,,,,,,,,,,,,
7355280,"AVOCADO, HASS BRKER STG 2-3 #2",,,,,,,,,,,,,
6899289,"CRAYON, 4 PK ASST",,,,,,,,,,,,,
7607237,"CUP, PLST 12Z KID SEA W/LID&ST",,,,,,,,,,,,,
0,,,,,,,,,,,,,,
466821,"BACON, PORK SLCD SLAB RAW FZN",,,,,,,,,,,,,
6714032,"BEEF, RBY 112A 2X2"" LON RW F2F",,,,,,,,,,,,,
8429292,"JUICE, APPL 100% VITMN C ADDED",,,,,,,,,,,,,
9284670,"PORK, LOIN CC BELLY STRAP EXP",,,,,,,,,,,,,
6328116,"CORN, YLW KRNL FCY FZN BAG",,,,,,,,,,,,,
6364616,"LINER, 12-16 GAL 24X32 CLR .35",,,,,,,,,,,,,
9917069,"OIL, OLIV POMCE IMP ITALY",,,,,,,,,,,,,
7662349,"PLATE, PLYST 10.25"" WHT DECTD",,,,,,,,,,,,,
1536807,"POTATO, RUSET ID. 40 CT FRESH",,,,,,,,,,,,,
5489441,"MIX, GRVY PORK BAG SHLF STABL",,,,,,,,,,,,,
7416663,"PORK, LOIN CC BNLS .25"" TRIMD",,,,,,,,,,,,,
877506,"BUTTER, SALTD SOLID AA GRD REF",,,,,,,,,,,,,
2721173,"CHICKEN, WING 1&2JT RNDM JUMBO",,,,,,,,,,,,,
8231189,"LEMON, CHO IMP & DMSTC 165 CT",,,,,,,,,,,,,
2015881,"TOMATO, #2 GRD RND BULK FRESH",,,,,,,,,,,,,
1295506,"BEEF, RIBEY U2/3 ANGS 112A 2X2",,,,,,,,,,,,,
4814729,"ONION, GRN ICELS FRESH REF",,,,,,,,,,,,,
9866708,"STRAW, JMB 5.75"" BLK UWRPD STD",,,,,,,,,,,,,
6060865,"SHRIMP, 16-20 WHT P&D T/OF NPA",,,,,,,,,,,,,
8326696,"ONION, YLW JMB 3""+ FRESH REF",,,,,,,,,,,,,
7582752,"CHEESE, AMER LOAF PROCD PLST",,,,,,,,,,,,,
993063,"PASTA, MAC ELBW SHLF STABL",,,,,,,,,,,,,
1809805,"SAUSAGE, SMKD PORK BF 3.2 Z 5""",,,,,,,,,,,,,
2721165,"CHICKEN, BRST DBL RNDM BNLS",,,,,,,,,,,,,
4393494,"BEEF, CHEEK MEAT RAW REF BAG",,,,,,,,,,,,,
5492673,"SALT, SHKR PLST",,,,,,,,,,,,,
6492672,"SPICE, PPR BLK GRND SHKR",,,,,,,,,,,,,
1330158,"BEAN, BLU LAKE GRN CUT 4 SIEV",,,,,,,,,,,,,
4116355,"GARLIC, MNCD IN WATER PLST JAR",,,,,,,,,,,,,
7826688,"LINER, 60 GAL 38X56 BLK .8 MIL",,,,,,,,,,,,,
6617419,"CONTAINER, FM 9.12X9 1 CMPT",,,,,,,,,,,,,
4725396,"CELERY, STALK FRESH REF BOX",,,,,,,,,,,,,
6361794,"TOWEL, PAPR 10""X800' N-PERF RL",,,,,,,,,,,,,
3327053,"SHORTENING, FRYG CNOLA LIQ CLR",,,,,,,,,,,,,
1016831,"SUGAR, WHT GRAN CANE",,,,,,,,,,,,,
4836169,"FILM, PLST 18""X2000' RL CTTR",,,,,,,,,,,,,
2332245,"LETTUCE, RMN HEART FRESH REF",,,,,,,,,,,,,
7445317,"MARGARINE, WHPD PHO-FREE PAIL",,,,,,,,,,,,,
7398886,"FILTER, FRYER GRS SHT",,,,,,,,,,,,,
3164159,"TOWEL, PAPR 11X8.8 PERF RL WHT",,,,,,,,,,,,,
1184029,"SHRIMP, RAW 16-20 WHT T/ON P&D",,,,,,,,,,,,,
2384873,"TOMATO, PLUM #2 GRD BULK FRESH",,,,,,,,,,,,,
6004030,"BAR MIX, CCNUT CRM SHLF STABL",,,,,,,,,,,,,
1163553,"JUICE, ORNG BLND 100% PLST BTL",,,,,,,,,,,,,
4523510,"CHERRY, MRCNO W/ STEM LG PLST",,,,,,,,,,,,,
6328157,"MAYONNAISE, XHVY PLST JUG SHLF",,,,,,,,,,,,,
